failure_penalty,lambda,tbm_best_objective,tbm_best_interval_days,tbm_best_mean_cost,tbm_best_p_fail,cbm_best_objective,cbm_best_threshold_days,cbm_best_mean_cost,cbm_best_p_fail,cbm_minus_tbm
5000.0,500.0,47967.581800816464,75.0,47546.981800816466,0.8412,55991.10166041448,75.0,55570.501660414484,0.8412,8023.519859598018
10000.0,500.0,56192.581800816464,75.0,55771.981800816466,0.8412,64883.04139193945,65.0,64462.44139193945,0.8412,8690.459591122984
15000.0,500.0,64131.04000000266,50.0,63779.140000002655,0.7038,73461.6077523246,60.0,73041.0077523246,0.8412,9330.56775232195
20000.0,500.0,69975.04000000266,50.0,69623.14000000266,0.7038,80486.6529645214,35.0,80134.75296452141,0.7038,10511.612964518747
25000.0,500.0,75819.04000000266,50.0,75467.14000000266,0.7038,86447.6529645214,35.0,86095.75296452141,0.7038,10628.612964518747
30000.0,500.0,80545.96266901602,35.0,80258.71266901602,0.5745,92408.6529645214,35.0,92056.75296452141,0.7038,11862.690295505381
35000.0,500.0,84744.96266901602,35.0,84457.71266901602,0.5745,98369.6529645214,35.0,98017.75296452141,0.7038,13624.690295505381
40000.0,500.0,88943.96266901602,35.0,88656.71266901602,0.5745,104330.6529645214,35.0,103978.75296452141,0.7038,15386.690295505381
45000.0,500.0,93142.96266901602,35.0,92855.71266901602,0.5745,110291.6529645214,35.0,109939.75296452141,0.7038,17148.69029550538
50000.0,500.0,97341.96266901602,35.0,97054.71266901602,0.5745,116252.6529645214,35.0,115900.75296452141,0.7038,18910.69029550538
