pm_interval_days,mean_cost,p_fail,objective
10,165032.7968226159,0.2345,165150.0468226159
20,92099.68274068531,0.4095,92304.43274068531
30,71190.50020933482,0.5215,71451.25020933482
40,63428.9723529563,0.6275,63742.7223529563
50,59812.70633027628,0.7075,60166.45633027628
60,60903.002671636,0.779,61292.502671636
70,60708.30546056322,0.822,61119.30546056322
80,60132.954380351155,0.847,60556.454380351155
90,64711.616916052226,0.882,65152.616916052226
100,62554.173350559846,0.8935,63000.923350559846
110,64831.3027892785,0.915,65288.8027892785
120,70014.11978435666,0.942,70485.11978435666
