repair_cost,lambda,tbm_best_objective,tbm_best_interval_days,tbm_best_mean_cost,tbm_best_p_fail,cbm_best_objective,cbm_best_threshold_days,cbm_best_mean_cost,cbm_best_p_fail,cbm_minus_tbm
2000.0,500.0,52902.581800816464,75.0,52481.981800816466,0.8412,61377.90166041448,75.0,60957.30166041448,0.8412,8475.319859598014
4000.0,500.0,56192.581800816464,75.0,55771.981800816466,0.8412,64883.04139193945,65.0,64462.44139193945,0.8412,8690.459591122984
6000.0,500.0,59482.581800816464,75.0,59061.981800816466,0.8412,68315.1077523246,60.0,67894.5077523246,0.8412,8832.525951508142
8000.0,500.0,62772.581800816464,75.0,62351.981800816466,0.8412,71746.1077523246,60.0,71325.5077523246,0.8412,8973.525951508142
10000.0,500.0,65299.84000000266,50.0,64947.94000000266,0.7038,75177.1077523246,60.0,74756.5077523246,0.8412,9877.267752321946
12000.0,500.0,67637.44000000265,50.0,67285.54000000266,0.7038,78101.10759635345,45.0,77749.20759635346,0.7038,10463.667596350802
14000.0,500.0,69975.04000000266,50.0,69623.14000000266,0.7038,80486.6529645214,35.0,80134.75296452141,0.7038,10511.612964518747
16000.0,500.0,72312.64000000265,50.0,71960.74000000265,0.7038,82871.0529645214,35.0,82519.1529645214,0.7038,10558.41296451875
18000.0,500.0,74650.24000000265,50.0,74298.34000000266,0.7038,85255.4529645214,35.0,84903.55296452141,0.7038,10605.212964518752
20000.0,500.0,76987.84000000266,50.0,76635.94000000267,0.7038,87639.8529645214,35.0,87287.9529645214,0.7038,10652.01296451874
