shape_k,lambda,tbm_best_objective,tbm_best_interval_days,tbm_best_mean_cost,tbm_best_p_fail,cbm_best_objective,cbm_best_threshold_days,cbm_best_mean_cost,cbm_best_p_fail,cbm_minus_tbm
0.8,500.0,99518.12747922944,120.0,99041.67747922945,0.9529,86973.16644896031,200.0,86503.56644896031,0.9392,-12544.961030269129
1.0,500.0,90852.09513905451,120.0,90376.4951390545,0.9512,84996.94606699112,200.0,84520.44606699112,0.953,-5855.149072063388
1.2,500.0,84530.4313954761,120.0,84055.4313954761,0.95,83752.25097646791,195.0,83270.1509764679,0.9642,-778.1804190081893
1.4,500.0,76488.33773304585,75.0,76029.73773304584,0.9172,81736.15721792848,110.0,81260.40721792848,0.9515,5247.819484882639
1.5999999999999999,500.0,69679.10006913813,75.0,69231.05006913813,0.8961,77826.5568780246,75.0,77378.5068780246,0.8961,8147.456808886462
1.7999999999999998,500.0,63986.74939805003,75.0,63551.39939805003,0.8707,72701.42150364809,65.0,72266.07150364808,0.8707,8714.67210559806
1.9999999999999998,500.0,59482.581800816464,75.0,59061.981800816466,0.8412,68315.1077523246,60.0,67894.5077523246,0.8412,8832.525951508142
2.1999999999999997,500.0,55571.25306832828,75.0,55165.75306832828,0.811,64486.8445395609,55.0,64081.3445395609,0.811,8915.59147123262
2.3999999999999995,500.0,51825.82433686581,50.0,51538.524336865805,0.5746,61142.16950857862,60.0,60752.46950857862,0.7794,9316.345171712812
